Strategy,Candles,Total_Return,Max_Drawdown,Calmar_Ratio,Total_Trades,Score,Buy_Hold_Return,Outperformance
adaptive_ema_v1,300,-1.57,1.88,-0.83,1,-8.32,-0.03,-1.53
adaptive_ema_v1,600,4.24,5.01,0.85,3,8.46,5.38,-1.15
adaptive_ema_v1,1100,27.79,4.71,5.90,4,59.01,23.96,3.83
adaptive_ema_v1,1400,27.40,3.72,7.36,3,73.60,14.07,13.33
adaptive_ema_v1,1700,26.00,4.78,5.44,4,54.44,16.79,9.21
adaptive_ema_v1,2000,29.97,4.83,6.21,5,62.11,20.67,9.30
adaptive_ema_v1,2500,38.49,5.21,7.39,7,73.85,26.27,12.21
adaptive_ema_v2,300,11.30,3.91,2.89,24,28.91,-0.03,11.33
adaptive_ema_v2,600,17.90,3.91,4.58,36,45.80,5.38,12.52
adaptive_ema_v2,1100,45.85,3.91,11.73,70,117.30,23.96,21.89
adaptive_ema_v2,1400,30.90,3.91,7.91,23,79.07,14.07,16.84
adaptive_ema_v2,1700,30.18,4.60,6.55,30,65.53,16.79,13.39
adaptive_ema_v2,2000,37.90,4.60,8.23,38,82.30,20.67,17.23
adaptive_ema_v2,2500,42.30,4.60,9.19,47,91.85,26.27,16.97
adaptive_ema_v4,300,3.28,1.05,3.12,3,31.20,-0.03,3.31
adaptive_ema_v4,600,6.44,1.11,5.78,5,57.80,5.38,1.06
adaptive_ema_v4,1100,24.19,2.14,11.31,14,113.06,23.96,0.23
adaptive_ema_v4,1400,24.42,2.58,9.47,18,94.73,14.07,10.35
adaptive_ema_v4,1700,26.48,3.06,8.66,21,86.63,16.79,9.69
adaptive_ema_v4,2000,34.00,3.28,10.38,30,103.82,20.67,13.33
adaptive_ema_v4,2500,47.64,3.02,15.79,37,157.87,26.27,22.07
ema_simple_v1,300,1.00,5.54,0.18,165,1.81,-0.03,1.04
ema_simple_v1,600,5.70,3.52,1.62,7,16.19,5.38,0.32
ema_simple_v1,1100,23.42,6.32,3.71,563,37.06,23.96,-0.54
ema_simple_v1,1400,16.94,7.55,2.24,46,22.44,14.07,2.87
ema_simple_v1,1700,22.06,9.09,2.43,45,24.27,16.79,5.27
ema_simple_v1,2000,24.04,9.09,2.64,55,26.44,20.67,3.37
ema_simple_v1,2500,34.50,9.09,3.80,67,37.95,26.27,8.23
