Strategy,Candles,Total_Return,Max_Drawdown,Calmar_Ratio,Total_Trades,Score,Buy_Hold_Return,Outperformance
adaptive_ema_v1,300,0,0,0,0,0,-0.03,973625884672.00
adaptive_ema_v1,500,7.32,3.91,1.87,1,18.72,5.86,1.45
adaptive_ema_v1,600,-0.80,3.59,-0.22,1,-2.22,5.38,-6.18
adaptive_ema_v1,800,-1.72,2.91,-0.59,1,-5.90,12.72,-14.44
adaptive_ema_v1,1100,-1.72,2.91,-0.59,1,-5.90,23.96,-25.68
adaptive_ema_v1,1400,19.83,5.93,3.34,9,33.43,14.07,5.76
adaptive_ema_v1,1700,18.28,5.93,3.08,11,30.83,16.79,1.50
adaptive_ema_v1,2000,6.84,7.22,0.95,13,9.48,20.67,-13.83
adaptive_ema_v1,2250,25.12,7.22,3.48,14,34.81,28.04,-2.91
adaptive_ema_v1,2500,24.64,7.96,3.10,17,30.97,26.27,-1.63
adaptive_ema_v2,300,-3.62,5.67,-0.64,10,-6.39,-0.03,-3.59
adaptive_ema_v2,500,0.77,5.67,0.14,13,1.36,5.86,-5.09
adaptive_ema_v2,600,2.58,5.67,0.45,15,4.55,5.38,-2.80
adaptive_ema_v2,800,7.01,5.67,1.24,21,12.36,12.72,-5.71
adaptive_ema_v2,1100,23.49,5.67,4.14,26,41.41,23.96,-0.47
adaptive_ema_v2,1400,14.80,11.89,1.25,35,12.45,14.07,0.73
adaptive_ema_v2,1700,11.26,14.92,0.75,41,7.55,16.79,-5.52
adaptive_ema_v2,2000,16.16,14.92,1.08,51,10.83,20.67,-4.51
adaptive_ema_v2,2250,20.94,14.92,1.40,53,14.03,28.04,-7.10
adaptive_ema_v2,2500,23.32,14.92,1.56,59,15.63,26.27,-2.95
adaptive_ema_v2.1,300,6.67,4.35,1.53,18,15.32,-0.03,6.70
adaptive_ema_v2.1,500,13.09,4.35,3.01,27,30.09,5.86,7.23
adaptive_ema_v2.1,600,14.18,4.35,3.26,30,32.58,5.38,8.79
adaptive_ema_v2.1,800,20.18,4.35,4.64,46,46.38,12.72,7.46
adaptive_ema_v2.1,1100,42.23,4.35,9.71,66,97.08,23.96,18.28
adaptive_ema_v2.1,1400,33.34,16.52,2.02,82,20.18,14.07,19.28
adaptive_ema_v2.1,1700,37.29,16.52,2.26,103,22.57,16.79,20.50
adaptive_ema_v2.1,2000,46.94,16.52,2.84,133,28.41,20.67,26.27
adaptive_ema_v2.1,2250,35.17,16.52,2.13,133,21.29,28.04,7.13
adaptive_ema_v2.1,2500,35.68,16.52,2.16,140,21.60,26.27,9.40
adaptive_ema_v2.2,300,-1.99,4.26,-0.47,9,-4.67,-0.03,-1.96
adaptive_ema_v2.2,500,2.52,4.26,0.59,12,5.92,5.86,-3.34
adaptive_ema_v2.2,600,4.64,4.26,1.09,15,10.88,5.38,-0.74
adaptive_ema_v2.2,800,9.10,4.26,2.14,20,21.36,12.72,-3.61
adaptive_ema_v2.2,1100,22.27,6.54,3.41,26,34.06,23.96,-1.69
adaptive_ema_v2.2,1400,16.64,11.04,1.51,33,15.07,14.07,2.57
adaptive_ema_v2.2,1700,17.47,11.23,1.56,41,15.56,16.79,0.68
adaptive_ema_v2.2,2000,22.49,11.23,2.00,51,20.03,20.67,1.82
adaptive_ema_v2.2,2250,25.58,11.23,2.28,53,22.78,28.04,-2.46
adaptive_ema_v2.2,2500,26.35,11.23,2.35,61,23.47,26.27,0.07
adaptive_ema_v4,300,2.12,1.67,1.27,3,12.73,-0.03,2.15
adaptive_ema_v4,500,5.68,2.10,2.70,5,27.05,5.86,-0.18
adaptive_ema_v4,600,5.67,2.10,2.70,5,26.98,5.38,0.29
adaptive_ema_v4,800,3.61,2.62,1.38,8,13.79,12.72,-9.11
adaptive_ema_v4,1100,5.16,5.54,0.93,10,9.32,23.96,-18.80
adaptive_ema_v4,1400,ERROR,,,,,,
adaptive_ema_v4,1700,10.61,5.05,2.10,17,20.99,16.79,-6.18
adaptive_ema_v4,2000,17.06,5.05,3.37,19,33.75,20.67,-3.61
adaptive_ema_v4,2250,19.97,5.05,3.95,23,39.50,28.04,-8.07
adaptive_ema_v4,2500,16.61,5.05,3.29,25,32.87,26.27,-9.66
